timeat60nm	I_1at60nm	I_2at60nm	I_3at60nm
8.030000e+01	148	113	136
8.050000e+01	139	113	149
8.070000e+01	139	113	145
8.090000e+01	134	114	140
8.110000e+01	145	113	146
8.130000e+01	134	113	146
8.150000e+01	138	113	141
8.170000e+01	141	113	133
8.190000e+01	137	113	145
8.210000e+01	144	113	141
8.230000e+01	137	113	137
8.250000e+01	137	113	142
8.270000e+01	146	113	136
8.290000e+01	143	113	145
8.310000e+01	134	113	133
8.330000e+01	145	113	139
8.350000e+01	135	113	141
8.370000e+01	142	114	133
8.390000e+01	136	113	145
8.410000e+01	139	113	141
8.430000e+01	140	113	144
8.450000e+01	134	115	138
8.470000e+01	144	113	134
8.490000e+01	141	113	144
8.510000e+01	140	113	153
8.530000e+01	138	113	134
8.550000e+01	131	114	135
8.570000e+01	144	113	135
8.590000e+01	135	113	139
8.610000e+01	142	114	138
8.630000e+01	143	113	134
8.650000e+01	131	113	136
8.670000e+01	141	113	151
8.690000e+01	144	113	142
8.710000e+01	143	113	133
8.730000e+01	130	113	140
8.750000e+01	145	113	132
8.770000e+01	137	113	134
8.790000e+01	138	113	139
8.810000e+01	142	113	136
8.830000e+01	141	114	139
8.850000e+01	136	114	136
8.870000e+01	138	113	138
8.890000e+01	137	113	133
8.910000e+01	138	113	138
8.930000e+01	139	114	133
8.950000e+01	144	113	145
8.970000e+01	137	114	145
8.990000e+01	137	113	139
9.010000e+01	137	113	142
9.030000e+01	141	115	146
9.050000e+01	141	114	136
9.070000e+01	135	113	127
9.090000e+01	142	113	137
9.110000e+01	145	113	135
9.130000e+01	140	114	136
9.150000e+01	140	113	145
9.170000e+01	139	113	130
9.190000e+01	150	113	132
9.210000e+01	127	113	135
9.230000e+01	135	113	143
9.250000e+01	144	113	140
9.270000e+01	151	113	135
9.290000e+01	142	113	141
9.310000e+01	144	113	136
9.330000e+01	142	113	140
9.350000e+01	143	114	136
9.370000e+01	135	113	135
9.390000e+01	137	113	139
9.410000e+01	142	113	133
9.430000e+01	145	113	138
9.450000e+01	140	113	138
9.470000e+01	132	113	138
9.490000e+01	130	113	135
9.510000e+01	144	113	137
9.530000e+01	135	113	142
9.550000e+01	136	113	144
9.570000e+01	133	113	134
9.590000e+01	130	113	141
9.610000e+01	137	113	140
9.630000e+01	139	113	136
9.650000e+01	132	113	149
9.670000e+01	135	113	150
9.690000e+01	137	113	139
9.710000e+01	149	113	130
9.730000e+01	136	113	142
