timeat60nm	I_1at60nm	I_2at60nm	I_3at60nm
6.930000e+01	130	121	142
6.950000e+01	129	120	136
6.970000e+01	127	123	147
6.990000e+01	130	115	140
7.010000e+01	127	118	138
7.030000e+01	131	121	138
7.050000e+01	129	118	146
7.070000e+01	131	115	141
7.090000e+01	128	114	147
7.110000e+01	133	115	152
7.130000e+01	137	117	143
7.150000e+01	132	122	140
7.170000e+01	130	118	146
7.190000e+01	126	121	149
7.210000e+01	134	116	144
7.230000e+01	126	118	147
7.250000e+01	127	119	139
7.270000e+01	123	115	144
7.290000e+01	129	118	148
7.310000e+01	134	118	139
7.330000e+01	140	117	151
7.350000e+01	122	119	136
7.370000e+01	125	119	145
7.390000e+01	130	118	137
7.410000e+01	137	116	147
7.430000e+01	128	116	139
7.450000e+01	132	117	152
7.470000e+01	128	119	138
7.490000e+01	131	113	136
7.510000e+01	137	117	138
7.530000e+01	132	117	145
7.550000e+01	133	114	141
7.570000e+01	135	114	141
7.590000e+01	124	113	146
7.610000e+01	134	115	140
7.630000e+01	136	114	142
7.650000e+01	128	113	148
7.670000e+01	126	114	148
7.690000e+01	127	116	146
7.710000e+01	139	114	139
7.730000e+01	126	116	138
7.750000e+01	132	115	139
7.770000e+01	133	115	142
7.790000e+01	135	118	133
7.810000e+01	137	117	139
7.830000e+01	138	116	148
7.850000e+01	130	114	148
7.870000e+01	136	115	135
7.890000e+01	131	115	142
7.910000e+01	134	113	150
7.930000e+01	135	113	135
7.950000e+01	138	119	145
7.970000e+01	138	115	156
7.990000e+01	128	116	136
8.010000e+01	126	113	134
8.030000e+01	128	120	136
8.050000e+01	128	115	147
8.070000e+01	140	118	147
8.090000e+01	135	117	142
8.110000e+01	130	115	133
8.130000e+01	131	113	137
8.150000e+01	133	115	135
8.170000e+01	136	116	145
8.190000e+01	135	113	146
8.210000e+01	136	114	144
8.230000e+01	139	116	135
8.250000e+01	132	115	142
8.270000e+01	131	114	155
8.290000e+01	141	115	136
8.310000e+01	130	115	139
8.330000e+01	132	113	134
8.350000e+01	136	115	133
8.370000e+01	135	115	134
8.390000e+01	145	115	153
8.410000e+01	135	113	134
8.430000e+01	135	114	139
8.450000e+01	138	120	133
8.470000e+01	134	115	135
8.490000e+01	136	115	143
8.510000e+01	138	113	160
8.530000e+01	136	115	143
8.550000e+01	134	115	139
8.570000e+01	136	113	138
8.590000e+01	131	114	140
8.610000e+01	145	116	147
8.630000e+01	132	117	141
8.650000e+01	128	117	130
8.670000e+01	133	117	145
8.690000e+01	124	114	149
8.710000e+01	125	115	146
8.730000e+01	132	115	148
8.750000e+01	133	115	143
8.770000e+01	138	117	155
8.790000e+01	128	118	146
8.810000e+01	126	116	144
8.830000e+01	135	114	137
8.850000e+01	141	114	148
8.870000e+01	131	117	140
8.890000e+01	138	116	143
8.910000e+01	129	116	148
8.930000e+01	132	116	142
8.950000e+01	132	119	141
8.970000e+01	133	115	144
8.990000e+01	139	117	137
9.010000e+01	144	113	146
9.030000e+01	140	114	147
9.050000e+01	140	117	147
9.070000e+01	137	114	145
9.090000e+01	132	113	140
9.110000e+01	129	115	154
9.130000e+01	139	113	138
9.150000e+01	139	116	140
9.170000e+01	132	115	141
9.190000e+01	136	115	139
9.210000e+01	140	115	143
9.230000e+01	128	115	154
9.250000e+01	131	115	143
9.270000e+01	135	115	143
9.290000e+01	126	115	147
9.310000e+01	132	117	142
9.330000e+01	136	118	141
9.350000e+01	136	114	136
9.370000e+01	130	115	139
9.390000e+01	131	113	138
9.410000e+01	134	117	142
9.430000e+01	135	116	157
9.450000e+01	133	114	147
9.470000e+01	137	116	148
9.490000e+01	132	117	143
9.510000e+01	137	114	149
9.530000e+01	132	114	141
9.550000e+01	144	117	145
9.570000e+01	141	116	138
9.590000e+01	133	116	138
9.610000e+01	136	119	137
9.630000e+01	135	116	140
9.650000e+01	137	120	147
9.670000e+01	137	116	153
9.690000e+01	134	113	144
9.710000e+01	131	115	141
9.730000e+01	146	116	142
9.750000e+01	134	115	145
9.770000e+01	133	115	141
9.790000e+01	136	116	143
9.810000e+01	132	116	151
9.830000e+01	131	116	139
9.850000e+01	131	115	136
9.870000e+01	131	114	144
9.890000e+01	127	116	145
9.910000e+01	139	116	140
9.930000e+01	130	113	143
9.950000e+01	137	116	136
9.970000e+01	136	116	146
9.990000e+01	139	116	141
