timeat605nm	I_1at605nm
8.810000e+01	141
8.830000e+01	144
8.850000e+01	151
8.870000e+01	139
8.890000e+01	137
8.910000e+01	150
8.930000e+01	140
8.950000e+01	142
8.970000e+01	133
8.990000e+01	146
9.010000e+01	144
9.030000e+01	140
9.050000e+01	153
9.070000e+01	141
9.090000e+01	143
9.110000e+01	149
9.130000e+01	137
9.150000e+01	136
9.170000e+01	146
9.190000e+01	147
9.210000e+01	138
9.230000e+01	137
9.250000e+01	148
9.270000e+01	148
9.290000e+01	135
9.310000e+01	140
9.330000e+01	145
9.350000e+01	150
9.370000e+01	142
9.390000e+01	150
9.410000e+01	147
9.430000e+01	145
9.450000e+01	143
9.470000e+01	147
9.490000e+01	148
9.510000e+01	145
9.530000e+01	139
9.550000e+01	141
9.570000e+01	142
9.590000e+01	137
9.610000e+01	148
9.630000e+01	150
9.650000e+01	140
9.670000e+01	142
9.690000e+01	145
9.710000e+01	141
9.730000e+01	149
9.750000e+01	145
9.770000e+01	144
9.790000e+01	146
9.810000e+01	136
9.830000e+01	138
9.850000e+01	149
9.870000e+01	146
9.890000e+01	160
9.910000e+01	138
9.930000e+01	137
9.950000e+01	146
9.970000e+01	145
9.990000e+01	158
