timeat605nm	I_1at605nm
7.350000e+01	146
7.370000e+01	139
7.390000e+01	144
7.410000e+01	144
7.430000e+01	143
7.450000e+01	138
7.470000e+01	148
7.490000e+01	144
7.510000e+01	137
7.530000e+01	143
7.550000e+01	137
7.570000e+01	144
7.590000e+01	148
7.610000e+01	147
7.630000e+01	140
7.650000e+01	153
7.670000e+01	150
7.690000e+01	139
7.710000e+01	146
7.730000e+01	143
7.750000e+01	141
7.770000e+01	148
7.790000e+01	150
7.810000e+01	136
7.830000e+01	145
7.850000e+01	138
7.870000e+01	135
7.890000e+01	147
7.910000e+01	145
7.930000e+01	147
7.950000e+01	155
7.970000e+01	144
7.990000e+01	145
8.010000e+01	142
8.030000e+01	138
8.050000e+01	143
8.070000e+01	147
8.090000e+01	139
8.110000e+01	160
8.130000e+01	139
8.150000e+01	136
8.170000e+01	144
8.190000e+01	147
8.210000e+01	148
8.230000e+01	138
8.250000e+01	142
8.270000e+01	145
8.290000e+01	159
8.310000e+01	148
8.330000e+01	142
8.350000e+01	145
8.370000e+01	148
8.390000e+01	141
8.410000e+01	137
8.430000e+01	138
8.450000e+01	143
8.470000e+01	151
8.490000e+01	144
8.510000e+01	137
8.530000e+01	145
8.550000e+01	148
8.570000e+01	143
8.590000e+01	141
8.610000e+01	139
8.630000e+01	140
8.650000e+01	134
8.670000e+01	151
8.690000e+01	139
8.710000e+01	134
8.730000e+01	148
8.750000e+01	152
8.770000e+01	143
8.790000e+01	146
8.810000e+01	143
8.830000e+01	146
8.850000e+01	139
8.870000e+01	134
8.890000e+01	141
8.910000e+01	149
8.930000e+01	154
8.950000e+01	146
8.970000e+01	143
8.990000e+01	151
9.010000e+01	143
9.030000e+01	142
9.050000e+01	142
9.070000e+01	144
9.090000e+01	140
9.110000e+01	144
9.130000e+01	138
9.150000e+01	147
9.170000e+01	141
9.190000e+01	150
9.210000e+01	144
9.230000e+01	143
9.250000e+01	138
9.270000e+01	139
9.290000e+01	135
9.310000e+01	145
9.330000e+01	139
9.350000e+01	147
9.370000e+01	142
9.390000e+01	147
9.410000e+01	141
9.430000e+01	152
9.450000e+01	142
9.470000e+01	139
9.490000e+01	147
9.510000e+01	143
9.530000e+01	146
9.550000e+01	143
9.570000e+01	143
9.590000e+01	144
9.610000e+01	133
9.630000e+01	140
9.650000e+01	151
9.670000e+01	145
9.690000e+01	151
9.710000e+01	145
9.730000e+01	142
9.750000e+01	140
9.770000e+01	162
9.790000e+01	133
9.810000e+01	137
9.830000e+01	142
9.850000e+01	140
9.870000e+01	142
9.890000e+01	142
9.910000e+01	148
9.930000e+01	137
9.950000e+01	144
9.970000e+01	142
9.990000e+01	147
