coordinates:	55.8,114.4	140.8,114.4	225.8,114.4
timeat300nm	I_1at300nm	I_2at300nm	I_3at300nm
3.590000e+01	153	116	125
36	113	149	120
3.610000e+01	137	118	127
3.620000e+01	113	129	118
3.630000e+01	149	115	132
3.640000e+01	113	141	117
3.650000e+01	138	114	126
3.660000e+01	113	134	123
3.670000e+01	144	118	120
3.680000e+01	113	143	116
3.690000e+01	139	114	124
37	113	139	123
3.710000e+01	156	116	129
3.720000e+01	113	133	116
3.730000e+01	145	117	130
3.740000e+01	113	136	125
3.750000e+01	139	114	136
3.760000e+01	113	141	122
3.770000e+01	139	114	133
3.780000e+01	113	145	119
3.790000e+01	156	116	124
38	113	145	120
3.810000e+01	153	113	126
3.820000e+01	113	134	121
3.830000e+01	139	115	133
3.840000e+01	113	132	124
3.850000e+01	143	114	126
3.860000e+01	113	135	117
3.870000e+01	135	113	129
3.880000e+01	113	134	123
3.890000e+01	135	114	122
39	113	138	123
3.910000e+01	146	114	125
3.920000e+01	113	131	121
3.930000e+01	137	113	128
3.940000e+01	113	147	114
3.950000e+01	149	115	129
3.960000e+01	113	137	121
3.970000e+01	152	115	129
3.980000e+01	113	142	116
3.990000e+01	159	114	132
40	113	131	115
4.010000e+01	140	116	128
4.020000e+01	113	144	118
4.030000e+01	150	116	126
4.040000e+01	113	135	120
4.050000e+01	142	116	122
4.060000e+01	113	133	117
4.070000e+01	150	114	128
4.080000e+01	113	131	118
4.090000e+01	150	114	129
41	113	138	120
4.110000e+01	157	115	133
4.120000e+01	113	136	120
4.130000e+01	148	114	124
4.140000e+01	113	148	120
4.150000e+01	142	114	125
4.160000e+01	113	136	118
4.170000e+01	144	114	135
4.180000e+01	113	143	121
4.190000e+01	151	114	129
42	113	136	123
4.210000e+01	142	117	122
4.220000e+01	113	145	119
4.230000e+01	144	117	127
4.240000e+01	113	137	119
4.250000e+01	144	115	124
4.260000e+01	113	137	119
4.270000e+01	147	116	127
4.280000e+01	113	142	119
4.290000e+01	146	115	125
43	113	136	121
4.310000e+01	150	117	134
4.320000e+01	113	137	125
4.330000e+01	152	118	123
4.340000e+01	113	135	119
4.350000e+01	145	115	130
4.360000e+01	113	138	122
4.370000e+01	150	114	126
4.380000e+01	113	134	120
4.390000e+01	139	113	125
44	113	134	122
4.410000e+01	142	115	126
4.420000e+01	113	138	117
4.430000e+01	139	114	128
4.440000e+01	113	144	116
4.450000e+01	140	118	129
4.460000e+01	113	142	117
4.470000e+01	140	116	126
4.480000e+01	113	146	123
4.490000e+01	150	119	136
45	113	140	118
4.510000e+01	150	116	124
4.520000e+01	113	142	117
4.530000e+01	146	113	128
4.540000e+01	113	148	115
4.550000e+01	142	114	128
4.560000e+01	113	146	122
4.570000e+01	143	113	130
4.580000e+01	113	133	123
4.590000e+01	140	116	130
46	113	140	117
4.610000e+01	151	115	131
4.620000e+01	113	139	120
4.630000e+01	147	117	128
4.640000e+01	113	143	120
4.650000e+01	143	114	126
4.660000e+01	113	135	117
4.670000e+01	146	117	131
4.680000e+01	113	138	119
4.690000e+01	136	114	129
47	113	144	121
4.710000e+01	140	115	125
4.720000e+01	113	136	119
4.730000e+01	149	113	126
4.740000e+01	113	143	120
4.750000e+01	137	114	135
4.760000e+01	113	140	119
4.770000e+01	150	116	130
4.780000e+01	113	141	118
4.790000e+01	146	116	128
48	113	135	119
4.810000e+01	140	116	122
4.820000e+01	113	133	121
4.830000e+01	142	115	129
4.840000e+01	113	138	121
4.850000e+01	143	120	128
4.860000e+01	113	133	120
4.870000e+01	143	116	130
4.880000e+01	113	137	121
4.890000e+01	140	114	123
49	113	141	117
4.910000e+01	147	114	127
4.920000e+01	113	131	121
