time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
2.136750e+00	21	9.066026e+03	9.681417e+03	8.506066e+02	1.024752e+03	8.391865e+01	5.289865e+01	2.238500e+00	22	-9.057924e+01	1.224976e+01	7.755501e+03	8.116522e+03	1.444996e+02	3.142081e+02	2.136750e+00	21	1.553824e-01	1.720050e-01	2.136750e+00	21	4.137846e-01	4.317745e-01	
2.340250e+00	23	9.474026e+03	9.681417e+03	1.420767e+03	1.024752e+03	1.549186e+02	5.289865e+01	2.442000e+00	24	9.942076e+01	1.224976e+01	7.869501e+03	8.116522e+03	3.914996e+02	3.142081e+02	2.340250e+00	23	2.272310e-01	1.720050e-01	2.340250e+00	23	4.427496e-01	4.317745e-01	
2.543750e+00	25	9.672026e+03	9.681417e+03	9.029666e+02	1.024752e+03	8.391865e+01	5.289865e+01	2.645500e+00	26	-1.457924e+01	1.224976e+01	7.366501e+03	8.116522e+03	2.004996e+02	3.142081e+02	2.543750e+00	25	1.547315e-01	1.720050e-01	2.543750e+00	25	4.420248e-01	4.317745e-01	
2.747250e+00	27	9.177026e+03	9.681417e+03	1.797597e+03	1.024752e+03	4.918649e+00	5.289865e+01	2.849000e+00	28	-4.757924e+01	1.224976e+01	8.417501e+03	8.116522e+03	1.964996e+02	3.142081e+02	2.747250e+00	27	2.774977e-01	1.720050e-01	2.747250e+00	27	4.348918e-01	4.317745e-01	
2.950750e+00	29	1.113103e+04	9.681417e+03	5.188766e+02	1.024752e+03	7.591865e+01	5.289865e+01	3.052500e+00	30	1.434208e+02	1.224976e+01	8.914501e+03	8.116522e+03	1.104996e+02	3.142081e+02	2.950750e+00	29	8.374786e-02	1.720050e-01	2.950750e+00	29	4.100342e-01	4.317745e-01	
3.154250e+00	31	8.561026e+03	9.681417e+03	1.013357e+03	1.024752e+03	2.029186e+02	5.289865e+01	3.256000e+00	32	7.642076e+01	1.224976e+01	8.585501e+03	8.116522e+03	4.344996e+02	3.142081e+02	3.154250e+00	31	1.883745e-01	1.720050e-01	3.154250e+00	31	3.852121e-01	4.317745e-01	
3.357750e+00	33	1.011703e+04	9.681417e+03	5.951366e+02	1.024752e+03	-1.180814e+02	5.289865e+01	3.459500e+00	34	8.142076e+01	1.224976e+01	6.800501e+03	8.116522e+03	2.134996e+02	3.142081e+02	3.357750e+00	33	1.034153e-01	1.720050e-01	3.357750e+00	33	4.583570e-01	4.317745e-01	
3.561250e+00	35	9.732026e+03	9.681417e+03	9.588866e+02	1.024752e+03	5.991865e+01	5.289865e+01	3.663000e+00	36	-5.457924e+01	1.224976e+01	7.960501e+03	8.116522e+03	2.564996e+02	3.142081e+02	3.561250e+00	35	1.619134e-01	1.720050e-01	3.561250e+00	35	4.265893e-01	4.317745e-01	
3.764750e+00	37	8.082026e+03	9.681417e+03	1.072707e+03	1.024752e+03	-2.808135e+01	5.289865e+01	3.866500e+00	38	3.842076e+01	1.224976e+01	7.344501e+03	8.116522e+03	2.414996e+02	3.142081e+02	3.764750e+00	37	2.065066e-01	1.720050e-01	3.764750e+00	37	4.142693e-01	4.317745e-01	
3.968250e+00	39	8.847026e+03	9.681417e+03	7.807566e+02	1.024752e+03	4.991865e+01	5.289865e+01	4.070000e+00	40	1.542076e+01	1.224976e+01	8.064501e+03	8.116522e+03	5.824996e+02	3.142081e+02	3.968250e+00	39	1.475146e-01	1.720050e-01	3.968250e+00	39	3.962450e-01	4.317745e-01	
