coordinates:	43.9,143.0	128.9,143.0	213.9,143.0
timeat184nm	I_1at184nm	I_2at184nm	I_3at184nm
3.390000e+01	113	113	152
34	125	119	148
3.410000e+01	113	135	126
3.420000e+01	113	113	157
3.430000e+01	120	113	137
3.440000e+01	113	129	124
3.450000e+01	113	113	149
3.460000e+01	130	114	130
3.470000e+01	113	134	125
3.480000e+01	113	113	138
3.490000e+01	120	115	133
35	113	129	130
3.510000e+01	113	113	147
3.520000e+01	122	116	144
3.530000e+01	113	134	130
3.540000e+01	113	113	149
3.550000e+01	125	115	148
3.560000e+01	113	133	130
3.570000e+01	113	113	135
3.580000e+01	128	114	133
3.590000e+01	113	128	125
36	113	113	143
3.610000e+01	119	117	135
3.620000e+01	113	141	125
3.630000e+01	113	113	148
3.640000e+01	128	114	130
3.650000e+01	113	140	127
3.660000e+01	113	113	144
3.670000e+01	122	115	142
3.680000e+01	113	138	125
3.690000e+01	113	113	136
37	123	114	134
3.710000e+01	113	128	125
3.720000e+01	113	113	148
3.730000e+01	130	115	144
3.740000e+01	113	126	126
3.750000e+01	113	113	148
3.760000e+01	127	114	150
3.770000e+01	113	131	124
3.780000e+01	113	113	150
3.790000e+01	117	117	131
38	113	130	120
3.810000e+01	113	113	139
3.820000e+01	123	113	141
3.830000e+01	113	127	126
3.840000e+01	113	113	149
3.850000e+01	125	114	142
3.860000e+01	113	130	123
3.870000e+01	113	113	143
3.880000e+01	124	114	136
3.890000e+01	113	137	133
39	113	113	152
3.910000e+01	124	117	137
3.920000e+01	113	134	133
3.930000e+01	113	113	148
3.940000e+01	130	113	131
3.950000e+01	113	137	123
3.960000e+01	113	113	149
3.970000e+01	122	115	133
3.980000e+01	113	128	126
3.990000e+01	113	113	133
40	124	113	136
4.010000e+01	113	130	125
4.020000e+01	113	113	145
4.030000e+01	119	114	136
4.040000e+01	113	136	122
4.050000e+01	113	113	144
4.060000e+01	121	115	133
4.070000e+01	113	132	131
4.080000e+01	113	113	146
4.090000e+01	122	114	133
41	113	129	127
4.110000e+01	113	113	144
4.120000e+01	125	114	136
4.130000e+01	113	133	128
4.140000e+01	113	113	155
4.150000e+01	120	114	143
4.160000e+01	113	126	125
4.170000e+01	113	113	142
4.180000e+01	122	116	132
4.190000e+01	113	134	120
42	113	113	144
4.210000e+01	129	116	126
4.220000e+01	113	138	126
4.230000e+01	113	113	140
4.240000e+01	125	115	137
4.250000e+01	113	140	120
4.260000e+01	113	113	143
4.270000e+01	125	117	137
4.280000e+01	113	134	121
4.290000e+01	113	113	140
43	121	117	140
4.310000e+01	113	139	118
4.320000e+01	113	113	147
4.330000e+01	124	114	130
4.340000e+01	113	132	118
4.350000e+01	113	113	145
4.360000e+01	130	116	144
4.370000e+01	113	133	123
4.380000e+01	113	113	146
4.390000e+01	125	115	132
44	113	138	121
4.410000e+01	113	113	147
4.420000e+01	120	115	139
4.430000e+01	113	138	121
4.440000e+01	113	113	137
4.450000e+01	124	115	141
4.460000e+01	113	136	121
4.470000e+01	113	113	147
4.480000e+01	125	118	142
4.490000e+01	113	141	123
45	113	113	148
4.510000e+01	121	118	133
4.520000e+01	113	134	121
4.530000e+01	113	113	145
4.540000e+01	121	113	134
4.550000e+01	113	135	127
4.560000e+01	113	113	149
4.570000e+01	123	115	134
4.580000e+01	113	131	125
4.590000e+01	113	113	138
46	122	114	146
4.610000e+01	113	130	125
4.620000e+01	113	113	141
4.630000e+01	127	115	130
4.640000e+01	113	131	125
4.650000e+01	113	113	144
4.660000e+01	127	116	136
4.670000e+01	113	137	132
4.680000e+01	113	113	146
4.690000e+01	120	115	143
47	113	132	122
4.710000e+01	113	113	146
4.720000e+01	115	120	135
4.730000e+01	113	138	122
4.740000e+01	113	113	142
4.750000e+01	129	114	140
4.760000e+01	113	136	135
4.770000e+01	113	113	139
4.780000e+01	120	116	131
4.790000e+01	113	126	127
48	113	113	145
4.810000e+01	126	116	146
4.820000e+01	113	131	118
4.830000e+01	113	113	148
4.840000e+01	127	115	131
4.850000e+01	113	129	127
4.860000e+01	113	113	155
4.870000e+01	120	114	141
4.880000e+01	113	136	123
4.890000e+01	113	113	131
49	121	117	135
4.910000e+01	113	132	127
4.920000e+01	113	113	150
4.930000e+01	127	115	139
4.940000e+01	113	135	125
4.950000e+01	113	113	150
4.960000e+01	121	114	141
4.970000e+01	113	129	125
4.980000e+01	113	113	141
4.990000e+01	126	115	148
50	113	136	124
5.010000e+01	113	113	142
5.020000e+01	128	114	134
5.030000e+01	113	131	131
5.040000e+01	113	113	140
5.050000e+01	125	117	135
5.060000e+01	113	132	130
5.070000e+01	113	113	143
5.080000e+01	127	117	141
5.090000e+01	113	129	127
51	113	113	132
5.110000e+01	119	115	139
5.120000e+01	113	130	127
5.130000e+01	113	113	147
5.140000e+01	123	113	141
5.150000e+01	113	127	125
5.160000e+01	113	113	147
5.170000e+01	127	115	134
5.180000e+01	113	139	126
5.190000e+01	113	113	139
52	131	115	133
5.210000e+01	113	129	124
5.220000e+01	113	113	131
5.230000e+01	117	116	139
5.240000e+01	113	131	126
5.250000e+01	113	113	145
5.260000e+01	127	114	133
5.270000e+01	113	126	120
5.280000e+01	113	113	150
5.290000e+01	125	116	129
53	113	129	121
5.310000e+01	113	113	150
5.320000e+01	130	117	135
5.330000e+01	113	131	128
5.340000e+01	113	113	148
5.350000e+01	120	116	136
5.360000e+01	113	134	125
5.370000e+01	113	113	141
5.380000e+01	128	114	133
5.390000e+01	113	134	124
54	113	113	139
5.410000e+01	122	115	139
5.420000e+01	113	130	131
5.430000e+01	113	113	139
5.440000e+01	128	116	143
5.450000e+01	113	125	126
5.460000e+01	113	113	135
5.470000e+01	125	117	139
5.480000e+01	113	117	135
5.490000e+01	113	113	149
55	122	114	144
5.510000e+01	113	124	133
5.520000e+01	113	113	141
5.530000e+01	125	114	136
5.540000e+01	113	117	131
5.550000e+01	113	113	152
5.560000e+01	124	113	143
5.570000e+01	113	125	134
5.580000e+01	113	113	145
5.590000e+01	119	113	143
56	113	118	136
5.610000e+01	113	113	144
5.620000e+01	128	113	139
5.630000e+01	113	122	135
5.640000e+01	113	113	131
5.650000e+01	122	113	143
5.660000e+01	113	124	135
5.670000e+01	113	113	146
5.680000e+01	121	113	139
5.690000e+01	113	121	133
57	113	113	149
5.710000e+01	126	114	139
5.720000e+01	113	120	136
5.730000e+01	113	113	146
5.740000e+01	126	116	141
5.750000e+01	113	121	141
5.760000e+01	113	113	139
5.770000e+01	124	113	129
5.780000e+01	113	122	135
5.790000e+01	113	113	137
58	123	113	144
5.810000e+01	113	116	132
5.820000e+01	113	113	141
5.830000e+01	127	114	141
5.840000e+01	113	118	141
5.850000e+01	113	113	143
5.860000e+01	127	113	141
5.870000e+01	113	126	141
5.880000e+01	113	113	141
5.890000e+01	123	118	143
59	113	117	139
5.910000e+01	113	113	139
5.920000e+01	123	115	136
5.930000e+01	113	117	135
5.940000e+01	113	113	147
5.950000e+01	124	120	141
5.960000e+01	113	121	133
5.970000e+01	113	113	147
5.980000e+01	119	115	140
5.990000e+01	113	119	137
60	113	113	149
6.010000e+01	117	115	144
6.020000e+01	113	118	133
6.030000e+01	113	113	136
6.040000e+01	118	115	128
6.050000e+01	113	123	128
6.060000e+01	113	113	137
6.070000e+01	119	118	138
6.080000e+01	113	118	135
6.090000e+01	113	113	140
61	120	119	147
6.110000e+01	113	121	136
6.120000e+01	113	113	134
6.130000e+01	121	114	133
6.140000e+01	113	123	136
6.150000e+01	113	113	141
6.160000e+01	126	115	133
6.170000e+01	113	121	139
6.180000e+01	113	113	144
6.190000e+01	115	117	135
62	113	119	127
6.210000e+01	113	113	141
6.220000e+01	114	114	136
6.230000e+01	113	121	150
6.240000e+01	113	113	146
6.250000e+01	118	115	132
6.260000e+01	113	123	137
6.270000e+01	113	113	143
6.280000e+01	123	113	144
6.290000e+01	113	118	139
63	113	113	140
6.310000e+01	121	114	138
6.320000e+01	113	122	131
6.330000e+01	113	113	138
6.340000e+01	123	115	137
6.350000e+01	113	117	137
6.360000e+01	113	113	150
6.370000e+01	119	116	135
6.380000e+01	113	117	135
6.390000e+01	113	113	148
64	116	114	136
6.410000e+01	113	118	139
6.420000e+01	113	113	150
6.430000e+01	124	114	145
6.440000e+01	113	123	136
6.450000e+01	113	113	140
6.460000e+01	120	115	147
6.470000e+01	113	122	133
6.480000e+01	113	113	139
6.490000e+01	120	115	141
65	113	117	135
6.510000e+01	113	113	140
6.520000e+01	124	116	131
6.530000e+01	113	127	136
6.540000e+01	113	113	141
6.550000e+01	117	114	141
6.560000e+01	113	123	134
6.570000e+01	113	113	141
6.580000e+01	119	115	136
6.590000e+01	113	121	138
66	113	113	140
6.610000e+01	122	114	134
6.620000e+01	113	120	143
6.630000e+01	113	113	153
6.640000e+01	122	115	131
6.650000e+01	113	117	134
6.660000e+01	113	113	159
6.670000e+01	123	115	137
6.680000e+01	113	119	133
6.690000e+01	113	113	151
67	116	116	145
6.710000e+01	113	115	133
6.720000e+01	113	113	136
6.730000e+01	117	114	139
6.740000e+01	113	119	133
6.750000e+01	113	113	138
6.760000e+01	115	114	139
6.770000e+01	113	117	133
6.780000e+01	113	113	142
6.790000e+01	121	116	147
68	113	121	136
6.810000e+01	113	113	159
6.820000e+01	124	114	134
6.830000e+01	113	118	130
6.840000e+01	113	113	147
6.850000e+01	120	116	140
6.860000e+01	113	120	139
6.870000e+01	113	113	142
6.880000e+01	123	114	143
6.890000e+01	113	120	147
69	113	113	143
6.910000e+01	117	117	141
6.920000e+01	113	126	141
6.930000e+01	113	113	135
6.940000e+01	120	115	133
6.950000e+01	113	123	133
6.960000e+01	113	113	138
6.970000e+01	126	115	145
6.980000e+01	113	123	135
6.990000e+01	113	113	138
70	120	114	138
7.010000e+01	113	118	135
7.020000e+01	113	113	140
7.030000e+01	125	115	142
7.040000e+01	113	119	135
7.050000e+01	113	113	149
7.060000e+01	117	114	142
7.070000e+01	113	117	133
7.080000e+01	113	113	152
7.090000e+01	121	115	135
71	113	118	139
7.110000e+01	113	113	152
7.120000e+01	120	117	137
7.130000e+01	113	121	132
7.140000e+01	113	113	149
7.150000e+01	126	113	138
7.160000e+01	113	121	133
7.170000e+01	113	113	146
7.180000e+01	122	116	133
7.190000e+01	113	116	134
72	113	113	148
7.210000e+01	120	114	135
7.220000e+01	113	121	143
7.230000e+01	113	113	149
7.240000e+01	117	119	141
7.250000e+01	113	122	133
7.260000e+01	113	113	138
7.270000e+01	119	116	147
7.280000e+01	113	117	136
7.290000e+01	113	113	139
73	125	117	132
7.310000e+01	113	122	130
7.320000e+01	113	113	148
7.330000e+01	121	115	137
7.340000e+01	113	120	130
7.350000e+01	113	113	146
7.360000e+01	120	113	135
7.370000e+01	113	122	132
7.380000e+01	113	113	143
7.390000e+01	118	115	144
74	113	119	134
7.410000e+01	113	113	143
7.420000e+01	121	115	138
7.430000e+01	113	120	148
7.440000e+01	113	113	146
7.450000e+01	125	116	128
7.460000e+01	113	119	129
7.470000e+01	113	113	144
7.480000e+01	120	116	133
7.490000e+01	113	121	132
75	113	113	144
7.510000e+01	120	122	136
7.520000e+01	113	119	135
7.530000e+01	113	113	141
7.540000e+01	124	114	135
7.550000e+01	113	119	139
7.560000e+01	113	113	156
7.570000e+01	128	116	143
7.580000e+01	113	123	132
7.590000e+01	113	113	143
76	122	115	135
7.610000e+01	113	118	136
7.620000e+01	113	113	145
7.630000e+01	120	115	137
7.640000e+01	113	118	138
7.650000e+01	113	113	150
7.660000e+01	122	118	148
7.670000e+01	113	117	130
7.680000e+01	113	113	139
7.690000e+01	120	118	134
77	113	118	141
7.710000e+01	113	113	140
7.720000e+01	120	116	141
7.730000e+01	113	123	138
7.740000e+01	113	113	143
7.750000e+01	118	115	139
7.760000e+01	113	122	143
7.770000e+01	113	113	141
7.780000e+01	120	114	137
7.790000e+01	113	119	131
78	113	113	140
7.810000e+01	125	117	136
7.820000e+01	113	123	144
7.830000e+01	113	113	145
7.840000e+01	122	119	143
7.850000e+01	113	118	139
7.860000e+01	113	113	139
7.870000e+01	120	116	135
7.880000e+01	113	118	130
7.890000e+01	113	113	156
79	128	113	139
7.910000e+01	113	120	138
7.920000e+01	113	113	146
7.930000e+01	122	113	134
7.940000e+01	113	120	135
7.950000e+01	113	113	137
7.960000e+01	130	114	147
7.970000e+01	113	126	136
7.980000e+01	113	113	144
7.990000e+01	125	114	142
80	113	119	134
8.010000e+01	113	113	147
8.020000e+01	129	114	135
8.030000e+01	113	119	136
8.040000e+01	113	113	142
8.050000e+01	120	113	138
8.060000e+01	113	122	135
8.070000e+01	113	113	148
8.080000e+01	124	113	136
8.090000e+01	113	119	133
81	113	113	142
8.110000e+01	123	116	134
8.120000e+01	113	115	150
8.130000e+01	113	113	142
8.140000e+01	126	114	136
8.150000e+01	113	117	127
8.160000e+01	113	113	150
8.170000e+01	124	114	138
8.180000e+01	113	119	133
8.190000e+01	113	113	149
82	124	114	130
8.210000e+01	113	120	139
8.220000e+01	113	113	155
8.230000e+01	126	114	135
8.240000e+01	113	117	137
8.250000e+01	113	113	139
8.260000e+01	124	113	134
8.270000e+01	113	120	141
8.280000e+01	113	113	137
8.290000e+01	132	114	144
83	113	120	133
8.310000e+01	113	113	148
8.320000e+01	123	113	138
8.330000e+01	113	118	130
8.340000e+01	113	113	137
8.350000e+01	118	113	135
8.360000e+01	113	120	136
8.370000e+01	113	113	151
8.380000e+01	122	114	136
8.390000e+01	113	123	133
84	113	113	138
8.410000e+01	131	114	134
8.420000e+01	113	123	140
8.430000e+01	113	113	140
8.440000e+01	123	113	129
8.450000e+01	113	119	134
8.460000e+01	113	113	138
8.470000e+01	126	115	148
8.480000e+01	113	122	134
8.490000e+01	113	113	139
85	124	113	137
8.510000e+01	113	120	142
8.520000e+01	113	113	138
8.530000e+01	126	113	140
8.540000e+01	113	122	131
8.550000e+01	113	113	155
8.560000e+01	121	113	129
8.570000e+01	113	122	137
8.580000e+01	113	113	143
8.590000e+01	121	113	137
86	113	122	137
8.610000e+01	113	113	142
8.620000e+01	121	113	143
8.630000e+01	113	124	138
8.640000e+01	113	113	146
8.650000e+01	120	113	140
8.660000e+01	113	117	139
8.670000e+01	113	113	149
8.680000e+01	130	113	131
8.690000e+01	113	121	141
87	113	113	140
8.710000e+01	122	113	131
8.720000e+01	113	120	131
8.730000e+01	113	113	148
8.740000e+01	124	113	143
8.750000e+01	113	118	138
8.760000e+01	113	113	147
8.770000e+01	125	114	132
8.780000e+01	113	119	130
8.790000e+01	113	113	145
88	128	113	135
8.810000e+01	113	124	133
8.820000e+01	113	113	151
8.830000e+01	125	114	147
8.840000e+01	113	119	143
8.850000e+01	113	113	141
8.860000e+01	126	113	136
8.870000e+01	113	120	135
8.880000e+01	113	113	138
8.890000e+01	126	114	137
89	113	117	143
8.910000e+01	113	113	144
8.920000e+01	117	115	140
8.930000e+01	113	119	136
8.940000e+01	113	113	140
8.950000e+01	122	114	137
8.960000e+01	113	118	134
8.970000e+01	113	113	143
8.980000e+01	119	114	128
8.990000e+01	113	124	137
90	113	113	155
9.010000e+01	123	114	137
9.020000e+01	113	121	138
9.030000e+01	113	113	140
9.040000e+01	128	115	140
9.050000e+01	113	123	139
9.060000e+01	113	113	144
9.070000e+01	124	113	135
9.080000e+01	113	117	129
9.090000e+01	113	113	146
91	123	113	140
9.110000e+01	113	119	133
9.120000e+01	113	113	144
9.130000e+01	123	114	132
9.140000e+01	113	117	137
9.150000e+01	113	113	147
9.160000e+01	128	113	145
9.170000e+01	113	121	134
9.180000e+01	113	113	139
9.190000e+01	124	113	151
92	113	122	131
9.210000e+01	113	113	137
9.220000e+01	127	113	134
9.230000e+01	113	118	138
9.240000e+01	113	113	137
9.250000e+01	123	114	139
9.260000e+01	113	117	131
9.270000e+01	113	113	144
9.280000e+01	128	113	136
9.290000e+01	113	121	141
93	113	113	147
9.310000e+01	124	114	141
9.320000e+01	113	118	139
9.330000e+01	113	113	136
9.340000e+01	125	115	146
9.350000e+01	113	116	143
9.360000e+01	113	113	142
9.370000e+01	128	117	144
9.380000e+01	113	132	118
9.390000e+01	113	113	154
94	124	113	143
9.410000e+01	113	140	123
9.420000e+01	113	113	142
9.430000e+01	131	116	134
9.440000e+01	113	138	119
9.450000e+01	113	113	143
9.460000e+01	124	114	137
9.470000e+01	113	134	124
9.480000e+01	113	113	138
9.490000e+01	125	115	146
95	113	139	123
9.510000e+01	113	113	143
9.520000e+01	128	116	143
9.530000e+01	113	136	126
9.540000e+01	113	113	142
9.550000e+01	121	118	138
9.560000e+01	113	143	121
9.570000e+01	113	113	150
9.580000e+01	123	118	135
9.590000e+01	113	132	120
96	113	113	154
9.610000e+01	122	115	145
9.620000e+01	113	137	124
9.630000e+01	113	113	136
9.640000e+01	118	114	136
9.650000e+01	113	141	118
9.660000e+01	113	113	143
9.670000e+01	121	117	141
9.680000e+01	113	140	124
9.690000e+01	113	113	144
97	123	114	136
9.710000e+01	113	139	125
9.720000e+01	113	113	143
9.730000e+01	122	118	137
9.740000e+01	113	135	126
9.750000e+01	113	113	143
9.760000e+01	123	115	136
9.770000e+01	113	148	121
9.780000e+01	113	113	133
9.790000e+01	124	115	130
98	113	136	124
9.810000e+01	113	113	137
9.820000e+01	126	115	143
9.830000e+01	113	136	123
9.840000e+01	113	113	136
9.850000e+01	117	113	134
9.860000e+01	113	138	119
9.870000e+01	113	113	137
9.880000e+01	121	117	131
9.890000e+01	113	128	119
99	113	113	149
9.910000e+01	124	117	127
9.920000e+01	113	138	120
9.930000e+01	113	113	135
9.940000e+01	128	117	145
9.950000e+01	113	133	120
9.960000e+01	113	113	142
9.970000e+01	127	117	132
9.980000e+01	113	138	121
9.990000e+01	113	113	131
100	128	115	136
1.001000e+02	113	128	117
1.002000e+02	113	113	140
1.003000e+02	124	116	139
1.004000e+02	113	137	121
1.005000e+02	113	113	143
1.006000e+02	120	117	143
1.007000e+02	113	140	119
1.008000e+02	113	113	139
1.009000e+02	123	116	133
101	113	136	123
1.011000e+02	113	113	151
1.012000e+02	130	118	131
1.013000e+02	113	135	124
1.014000e+02	113	113	143
1.015000e+02	121	117	134
1.016000e+02	113	139	117
1.017000e+02	113	113	144
1.018000e+02	127	117	132
1.019000e+02	113	142	120
102	113	113	150
1.021000e+02	123	117	136
1.022000e+02	113	142	126
1.023000e+02	113	113	141
1.024000e+02	122	115	137
1.025000e+02	113	139	121
1.026000e+02	113	113	144
1.027000e+02	123	115	135
1.028000e+02	113	132	120
1.029000e+02	113	113	142
103	123	120	141
1.031000e+02	113	128	122
